record_id,name,description,service_type
10.2909/463f357e-6419-461b-9ed1-c38948a75f09,https://image.discomap.eea.europa.eu/arcgis/services/GioLandPublic/HRL_ImperviousnessChange_12_15/MapServer/WMSServer?request=GetCapabilities&service=WMS,NULL,wms
scc_v_3035_10_k_virgin-forest-inventory-keo_i_2019_v01_r00,NULL,Virgin Forest Inventory of the Carpathians Dec. 2019,wms
10.2909/707f3c1f-4ecd-4cd1-bb7e-5091f0f36c4c,NULL,NULL,wms
10.2909/34ef6334-d432-4041-a3da-67e156d6501d,HRL_NVLCC_IMD_10m,CLMS_NVLCC_IMD_S2021_R10m,wms
10.2909/d5948b24-0a46-4946-b1eb-1f96440c5685,HRL_NVLCC_IBU_10m,CLMS_NVLCC_IBU_S2021_R10m,wms
10.2909/a6c48c2d-114f-406e-ba99-c9085a5f5aee,NULL,NULL,wms
"eea_v_3035_25_k_european-mountain_p_2008_v1_r00,DAT-215-en",NULL,European mountain areas,wms
10.2909/1e42e939-73ec-4e82-82ae-3625ecffc907,NULL,NULL,wms
10.2909/971345a4-c826-49ab-9c61-46d48dbc509b,NULL,NULL,wms
10.2909/deea2778-7023-4b81-8eab-8f3a0ac43661,NULL,NULL,wms
10.2909/de2df446-c93b-4bea-8fc1-cad0d1d976ce,NULL,NULL,wms
10.2909/7db5272f-5825-442b-9fa0-8b1c424f4ff1,NULL,NULL,wms
10.2909/917348e8-42ea-4df9-8fe8-4d47bcd8d241,NULL,WMS Web Map Service,wms
"eea_r_3035_100_m_fga2-s-2015_p_2015-2016_v01_r00,DAT-222-en",NULL,NULL,wms
eea_r_3035_1_km_env-zones_p_2018_v01_r00,NULL,NULL,wms
eea_r_3035_100_m_adm-boundaries-eea38-uk_p_2020_v01_r00,NULL,NULL,wms
arls_031:m10914-cc-i11786,NULL,NULL,wms
10.2909/169b69b5-a1f8-4aed-8042-bfcb4c1e4948,NULL,NULL,wms
10.2909/f425a73e-dc6c-40be-93d6-9d234d4bbe1b,NULL,Forest probability WMS service,wms
10.2909/70fbb9d1-b61b-4bdc-973b-fec4d8835ccd,NULL,NULL,wms
10.2909/5b3e4da9-4c14-498c-b20e-bc514470eab5,NULL,NULL,wms
10.2909/156377d3-14ee-42f9-855e-71d8c710d441,NULL,NULL,wms
10.2909/f97c9bdc-3bdc-45e9-8f28-e687702096d7,NULL,NULL,wms
10.2909/4e92b07d-48b0-4a53-9db2-fd8d07070cc1,0,HRL_SmallWoodyFeatures_2015_005m,wms
arls_031:m10914-cc-i11786,NULL,NULL,wfs
"eea_r_3035_100_m_clc-2006-acc_p_2005-2007_v02_r00,DAT-214-en,DAT-37-en",0,CLC_accounting_layer_2006,wms
"eea_r_3035_100_m_clc-2012-acc_p_2011-2013_v02_r00,DAT-214-en",0,CLC_accounting_layer_2012,wms
copernicus_v_3035_10_m_rz-2012-lclu_p_2011-2013_v02_r00,NULL,Riparian Zones 2012 LCLU,wms
"eea_r_3035_100_m_clc-2000-acc_p_1999-2001_v02_r00,DAT-214-en",0,CLC_accounting_layer_2000,wms
10.2909/debc1869-a4a2-4611-ae95-daeefce23490,UrbanAtlas_2012,NULL,wms
10.2909/d9aeb892-04d5-42c0-b24a-29b58831316f,https://copernicus.discomap.eea.europa.eu/arcgis/services/RiparianZones/RZ_Change/MapServer/WMSServer?request=GetCapabilities&service=WMS,NULL,wms
10.2909/6aeb0dea-9d8c-42bd-a357-cd859f148929,Riparian Zones 2012 LCLU,NULL,wms
eea_r_3035_100_m_eni-cha-2000-2018_p_2000-2019_v01_r00,NULL,NULL,wms
eea_v_3035_100_m_eni-cha-2000-2018_p_2000-2019_v01_r00,NULL,NULL,wms
eea_r_3035_100_m_eni-clc-2018_p_2017-2019_v01_r00,WMS Web Map Service,NULL,wms
eea_v_3035_100_m_eni-clc-2000_p_2000-2005_v01_r00,WMS Web Map Service,NULL,wms
eea_r_3035_100_m_eni-clc-2000_p_2000-2005_v01_r00,WMS Web Map Service,NULL,wms
https://www.dov.vlaanderen.be/geonetwork/srv/metadata/a1547a01-b9fc-40fa-a2eb-009a39c02c7b,bodemtypes,WFS-feature Digitale bodemkaart van het Vlaams Gewest: bodemtypes,wfs
641D1613-5E4B-43B6-A0CB-723371356E62,"0,1,2,3,4,5,6,7,8,9","Die Karte der nutzbaren Feldkapazität im effektiven Wurzelraum in Deutschland gibt einen Überblick über das Vermögen der Böden pflanzenverfügbares Wasser zu speichern. Die Größe des Wasserspeichers des Bodens hängt von der Bodenart, der Lagerungsdichte und dem Humusgehalt ab. Der effektive Wurzelraum wird anhand von Landnutzungs- und Bodendaten bestimmt. Die Karte basiert auf der Auswertung der nutzungsdifferenzierten Bodenübersichtskarte 1:1.000.000 (BUEK1000N) und zeigt die klassifizierte nutzbare Feldkapazität. Die Methode ist in der Bodenkundlichen Kartieranleitung (KA4) und in der Methodendokumentation Bodenkunde der Ad-hoc-AG Boden veröffentlicht. Als Landnutzungsinformation und zur nutzungsabhängigen Differenzierung der Profildaten werden Daten des CORINE Land Cover Projektes (2006) genutzt.",wms
f3a257ac-0d5d-480a-80b7-70054d6680f2,gsoc:T_CLAY,Topsoil Clay Fraction,wms
f7ccd330-bdce-11db-a0f6-000d939bc5d8,geonetwork:dom_soil_30587,Dominant Soils,wms
c18b5b90-88fd-11da-a88f-000d939bc5d8,geonetwork:slope_3831,Slope,wms
18329470-472d-11db-88e0-000d939bc5d8,geonetwork:cnt_bnd_vect_14039,Coastal and country boundaries of the world,wms
ba8a7330-88fd-11da-a88f-000d939bc5d8,geonetwork:sub_mld_3848,Suitability for small scale fish farming,wms
16f95ad0-51e6-11db-88e0-000d939bc5d8,geonetwork:water_997_14046,Inland water bodies (FGGD),wms
c136fa00-88fd-11da-a88f-000d939bc5d8,geonetwork:afr_mcli_6,Major Climates of Africa,wms
maaamet_muld,Mullakaardi WMS teenuse getCapabilities,NULL,wms
maaamet_muld,WMS teenuse getCapabilities,NULL,wms
ca5d8180-88fd-11da-a88f-000d939bc5d8,geonetwork:com_mld_3847,Suitability for commercial fish farming,wms
r_friuve:m3969-cc-i1471,NULL,NULL,wfs
r_friuve:m3969-cc-i1471,NULL,NULL,wms
r_liguri:D.2262,NULL,NULL,wms
r_lombar:75d66de5-dee6-494a-8c4e-51aa095f4ea4,NULL,NULL,wms
a8646a85-3f35-40b2-bc0f-db6f0008d364,gsoc:sq3,Soil Quality: Rooting Conditions (HWSD),wms
63ee4619-6a99-45e7-8078-eb1fd29ecf38,gsoc:REF_DEPTH,Soil Reference Depth,wms
3607167d-926d-47d8-b466-3bda654e7834,gsoc:T_OC,Topsoil Organic Carbon,wms
93ce3ec3-cdc9-4ac1-952f-4a8da9ab6d05,gsoc:ROOTS,Obstacle to Roots,wms
1d1e1137-de10-464c-9ea7-a945198cf7dc,gsoc:T_REF_BULK,Topsoil Reference Bulk Density,wms
WRB-Soil-Units-40k,wrb_40000,WFS-feature WRB Soil Units 40k: Bodemkaart van het Vlaamse Gewest volgens het internationale bodemclassificatiesysteem World Reference Base op schaal 1:40.000,wfs
WRB-Soil-Units-40k,WFS,NULL,wfs
3f9be529-5672-4286-86c7-a63c7da39853,gsoc:T_PH_H2O,Topsoil pH (H2O),wms
530b194d-5f66-482f-b536-22db24249f91,Service de visualisation WMS,Adresse de connexion au service de visualisation WMS de la couche de données CARBIOSOL - Stocks en Carbone organique total des sols - période 2005-2014,wms
985366a9-cb3a-46e4-9f89-d44cad6a4154,MiljøGIS WFS,NULL,wfs
b23dbf43-ee30-452e-ba37-e036c4dc933d,Service de visualisation WMS,Adresse de connexion au service de visualisation WMS de la couche de données CARBIOSOL - Teneurs prédites en Carbone organique total - période 2004-2014,wms
arls_031:m10807-cc-i11449,NULL,NULL,wfs
arls_031:m10807-cc-i11449,NULL,NULL,wms
bf320d32-289b-476d-9dd2-abb916d8bb25,gsoc:S_SAND,Subsoil Sand Fraction,wms
6d7bffef-ea99-4a92-9b26-89b4c915361a,gsoc:T_SAND,Topsoil Sand Fraction,wms
35821c18-cea8-47c4-bde0-4580d6808c11,NULL,NULL,wms
"Soil-World-Reference-Base,-Scotland",WMS,NULL,wms
be22b520-88fd-11da-a88f-000d939bc5d8,geonetwork:soilslop_3797,Soil and terrain suitability for ponds,wms
Potentiële-bodemerosiekaart-per-perceel-,so_potbdmerosiepp_2018,WFS-feature Potentiële bodemerosiekaart per perceel (2018),wfs
Potentiële-bodemerosiekaart-per-perceel-,WFS,NULL,wfs
https://www.dov.vlaanderen.be/geonetwork/srv/metadata/5e1146a5-4f72-4e93-a71d-8297d3dfec6c,grndversch_gekarteerd,WFS-feature Gekarteerde grondverschuivingen,wfs
23682345-53fb-461c-bad5-a9bbc557ef6a,geonetwork:climaf_suitweight_dif_fut35his95_12crops_47958,Suitability index changes between the historical (1981-2010) and the future period (2021-2050),wms
c2117b80-88fd-11da-a88f-000d939bc5d8,geonetwork:small_sl_3801,Suitability for small-scale fish farming,wms
c4bf8480-88fd-11da-a88f-000d939bc5d8,geonetwork:comerc_3802,Suitability for commercial fish farming,wms
f58ca6b0-88fd-11da-a88f-000d939bc5d8,geonetwork:wrl_mcli_12246,Major Climates of the Developing World,wms
f58ef0a0-88fd-11da-a88f-000d939bc5d8,geonetwork:wrldlgp_12247,Lengths Growing Period Zones in Developing World,wms
beefc920-88fd-11da-a88f-000d939bc5d8,geonetwork:rainfall_3829,Annual rainfall,wms
r_friuve:m3953-cc-i1444,NULL,NULL,wms
r_friuve:m3953-cc-i1444,NULL,NULL,wfs
r_liguri:D.2281,NULL,NULL,wms
r_lombar:bcb4a0f4-04fb-4e6b-8830-c3af0ee13a3a,NULL,NULL,wms
beec94d0-88fd-11da-a88f-000d939bc5d8,geonetwork:s_cpsub1_3811,Suitability for small-scale farming and potential yield (crops/y) of Common carp,wms
c1a4aff0-88fd-11da-a88f-000d939bc5d8,geonetwork:s_comerc_3816,"Suitability for commercial farming and potential yield (crops/y) of Nile tilapia, African catfish and Common carp",wms
be9ec2f0-88fd-11da-a88f-000d939bc5d8,geonetwork:s_catsub1_3810,Suitability for small-scale farming and potential yield (crops/y) of African catfish,wms
Topsoil-pH-of-Scottish-soils,WMS,NULL,wms
soil-texture,"Parent.Material.Soil.texture.simple, Parent.Material.Soil.texture.simple.1km",NULL,wms
